Sample_ID;LATf;LONGf;Reference;LATi;LONGi;SiO2;MgO;TiO2;Al2O3;Fe2O3t;MnO;CaO;Na2O;K2O;P2O5;LOI;Fe2O3;FeO;Ba;Rb;Sr;Itrio;Zr;Ti
LAR 338-346;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.89;5.79;2.2;13.29;14.88;0.22;9.92;2.57;1;0.24;1.1;;;340;21.8;441;26.1;143.2;13189.242
LAR 346-354;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.08;5.5;2.19;13.23;14.41;0.21;8.95;3.94;1.24;0.24;2.19;;;320;31.2;331.7;25.4;145.6;13129.2909
LAR 364-374;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.81;5.56;2.25;13.58;14.43;0.21;9.75;3.12;1.03;0.26;1.34;;;331;23.6;422.8;27.4;154.4;13488.9975
LAR 374-386;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.5;5.76;2.25;13.53;14.42;0.21;9.97;2.81;1.3;0.25;1.14;;;341;31.3;408;24.7;143.8;13488.9975
LAR 386-398;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.84;5.82;2.23;13.51;14.25;0.2;9.89;2.79;1.21;0.25;1.36;;;353;29.7;427.9;26.3;149.1;13369.0953
LAR 398-410;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.45;5.35;1.98;13.14;13.97;0.19;9.24;3.52;0.94;0.22;2.02;;;295;22.2;345.5;24.5;130.9;11870.3178
LAR 40-50;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.84;5.74;2.11;13.13;15.36;0.24;9.84;2.77;0.74;0.23;2.83;;;294;15.6;342.4;30.4;153.2;12649.6821
LAR 410-420;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.85;5.84;2.02;13.48;14.54;0.21;10.01;2.96;0.87;0.22;1.09;;;303;18.9;335.1;25.8;136.7;12110.1222
LAR 420-430;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.8;6.1;1.95;13.49;14.38;0.21;10.15;2.69;1.02;0.21;1.05;;;296;20.7;365.6;25.9;125.5;11690.4645
LAR 430-438;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.05;6.11;1.92;13.44;14.44;0.21;10.06;2.59;0.98;0.2;1.24;;;275;23.8;349.5;25.3;121;11510.6112
LAR 438-444;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.19;5.98;1.91;13.4;14.33;0.2;9.78;2.82;1.17;0.21;1.21;;;308;35.7;341.1;25.9;123.9;11450.6601
LAR 444-452;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.18;5.33;1.96;13.27;14.19;0.21;8.8;3.48;1.33;0.23;2.02;;;314;36.5;311.8;25.5;127.2;11750.4156
LAR 452-460;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.27;5.81;2.36;13.32;15.41;0.21;9.01;3.57;0.75;0.28;2.56;;;310;13.8;371.1;27.4;148.4;14148.4596
LAR 460-468;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.49;5.47;2.35;13.22;15.39;0.21;9.27;3.44;0.86;0.27;1.55;;;331;18.5;376.5;28.9;148.3;14088.5085
LAR 468-478;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.78;5.56;2.31;13.21;15.27;0.21;9.49;2.81;1.09;0.27;1.4;;;347;24.3;397.5;26.8;146.5;13848.7041
LAR 478-488;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.02;5.56;2.32;13.22;15.18;0.21;9.54;2.66;1.03;0.26;1.16;;;362;23.7;396;27.8;150.5;13908.6552
LAR 488-498;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.92;5.52;2.34;13.18;15.14;0.22;9.5;2.72;1.19;0.27;0.99;;;358;28.6;392.6;28.3;151;14028.5574
LAR 498-508;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.4;4.14;3.12;12.48;15.61;0.23;7.91;3.13;1.39;0.57;1.95;;;488;32.1;387.8;39.3;219.5;18704.7432
LAR 50-58;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.5;6.12;2.09;13.22;14.93;0.23;10.5;2.57;0.65;0.2;2.22;;;289;12.1;353.4;27.2;144.6;12529.7799
LAR 508-518;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.31;4.02;3.22;12.34;15.84;0.23;7.92;2.91;1.62;0.59;1.33;;;490;43.1;361.1;41.1;223.9;19304.2542
LAR 518-528;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.57;4.42;3.05;12.78;15.62;0.23;8.19;3.06;1.55;0.53;1.11;;;481;38.9;386.3;38.5;215.2;18285.0855
LAR 528-538;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.92;5.45;2.52;13.11;15.14;0.22;9.44;2.74;1.11;0.35;1.29;;;371;25.8;393.4;31.2;160.3;15107.6772
LAR 538-548;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.32;5.63;2.54;13.11;15.25;0.23;9.75;2.74;1.1;0.31;0.93;;;326;19.5;371.5;27.8;143.3;15227.5794
LAR 548-558;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.68;5.55;2.45;13.2;15.05;0.22;9.64;2.69;1.2;0.31;0.99;;;348;28.5;387.4;29.9;153.6;14688.0195
LAR 558-568;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.58;5.16;2.68;13.15;15.43;0.22;8.92;3.26;1.09;0.5;1.76;;;447;28.2;346.7;33.6;195.3;16066.8948
LAR 568-578;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.99;4.34;2.77;12.89;15.36;0.21;8.4;2.92;1.54;0.58;1.57;;;437;33.3;396.6;36.8;203;16606.4547
LAR 578-588;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.61;4.57;2.79;12.87;15.53;0.22;8.73;2.76;1.34;0.57;1.6;;;470;27.9;345.9;35.2;208;16726.3569
LAR 58-68;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.25;6.09;1.91;13.26;14.42;0.22;10.3;2.46;0.87;0.2;1.74;;;272;22.2;314.4;26.3;132.8;11450.6601
LAR 588-598;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.91;4.21;3.11;12.69;15.56;0.21;8.44;2.89;1.39;0.59;1.03;;;512;25.7;421.1;36.5;221.3;18644.7921
LAR 598-608;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.29;4;3.38;12.58;15.3;0.21;7.87;3.09;1.71;0.58;1.04;;;518;38.6;419.4;37.3;232.4;20263.4718
LAR 608-618;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;53.09;3.69;3.35;12.37;14.48;0.21;7.36;3;1.9;0.55;0.76;;;547;39.4;435.1;36.8;238.3;20083.6185
LAR 618-628;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;52.87;4;3.25;12.37;14.67;0.21;7.84;2.84;1.45;0.49;1.74;;;539;25.3;460.9;34.6;244.8;19484.1075
LAR 628-638;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.93;3.85;3.8;12.5;15.55;0.21;7.81;3.15;1.67;0.54;0.91;;;559;28.2;530.5;41.6;275.5;22781.418
LAR 638-648;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.42;3.8;3.85;12.27;15.36;0.2;7.62;3.21;1.7;0.56;0.87;;;560;28.4;544.5;41.7;265.1;23081.1735
LAR 648-656;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.63;3.84;3.81;12.26;15.24;0.21;7.65;3.11;1.69;0.56;0.94;;;560;27.4;547.2;42.8;270;22841.3691
LAR 656-666;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.05;3.89;3.95;12.37;15.44;0.23;7.7;3.04;1.78;0.56;0.82;;;557;28.4;506.3;41;275;23680.6845
LAR 666-674;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.46;4.02;4.07;12.11;16.04;0.23;7.84;2.9;1.78;0.55;0.92;;;542;38.3;471.6;41.1;272.4;24400.0977
LAR 674-680;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.67;3.96;4.03;12.33;15.56;0.23;7.54;3.36;1.76;0.57;0.95;;;552;37.7;445.8;41.4;266.7;24160.2933
LAR 680-690;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.42;3.62;3.75;12.36;15.41;0.22;7.25;3.77;1.58;0.62;1.07;;;544;31.1;447.6;43.6;277.9;22481.6625
LAR 68-78;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51;5.75;1.92;13.07;14.3;0.22;9.5;2.92;1.07;0.26;2.88;;;300;30.6;309.7;29;142.4;11510.6112
LAR 690-700;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.29;3.82;3.81;12.16;15.81;0.23;7.58;2.95;1.73;0.61;1.39;;;562;36.9;486.6;42.3;273.9;22841.3691
LAR 700-710;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.47;3.86;3.68;12.44;15.33;0.23;7.66;3.1;1.61;0.62;1.32;;;514;31.9;500.2;42.3;260.2;22062.0048
LAR 710-720;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.95;4;3.55;12.71;14.52;0.23;7.88;3.19;1.49;0.48;1.27;;;473;26.8;509.2;37.6;238.9;21282.6405
LAR 720-730;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.31;4.02;3.68;12.68;15.07;0.24;7.97;3.07;1.48;0.47;1.36;;;453;28.9;504.9;36.4;237.7;22062.0048
LAR 730-740;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.7;3.86;3.6;12.61;15.3;0.23;7.59;3.03;1.6;0.48;1.19;;;494;31.9;508.1;38.9;253.6;21582.396
LAR 740-750;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.16;4.18;3.94;12.39;16.27;0.23;7.97;2.85;1.53;0.47;1.5;;;479;32;495.2;35.6;235.6;23620.7334
LAR 750-760;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;49.96;4.41;3.89;12.74;15.77;0.23;8.36;2.85;1.38;0.4;1.56;;;435;28.3;535.1;34;219.1;23320.9779
LAR 760-770;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.14;4.34;3.82;12.67;15.79;0.23;8.34;2.88;1.38;0.4;1.43;;;447;28.8;524.1;35.1;226.8;22901.3202
LAR 770-782;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.43;4.24;3.76;12.66;15.74;0.22;8.18;2.94;1.42;0.4;1.27;;;453;30.1;511.6;34.8;225;22541.6136
LAR 782-790;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.42;4.02;3.43;12.81;15.01;0.22;7.35;3.5;1.83;0.41;1.1;;;472;40.3;474.9;37.5;255.7;20563.2273
LAR 790-798;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.4;4.02;3.43;12.79;15.02;0.22;7.42;3.52;1.76;0.41;1.08;;;499;38.9;481;35.7;255.9;20563.2273
LAR 798-810;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.07;4.07;3.35;12.81;15.15;0.22;7.65;3.71;1.54;0.41;1.15;;;441;31.6;472.3;34.6;238.3;20083.6185
LAR 810-818;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.07;3.91;3.4;12.9;15.05;0.21;7.51;4.01;1.49;0.45;1.09;;;462;29.6;502.3;37.2;248.1;20383.374
LAR 818-828;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.17;3.83;3.23;13.15;14.94;0.21;7.4;4.11;1.54;0.43;1.33;;;424;31.4;486.2;35.2;234.6;19364.2053
LAR 828-838;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.4;4.3;3.08;13.34;14.98;0.21;8;4.04;1.26;0.39;1.32;;;329;29.5;465.9;34.7;204.9;18464.9388
LAR 838-844;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.58;4.52;2.94;13.25;14.91;0.22;8.31;3.73;1.17;0.35;1.15;;;349;30.7;475.6;33.4;194.8;17625.6234
LAR 844-854;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.23;4.74;2.99;13.02;15.19;0.22;8.57;3.44;1.24;0.35;0.91;;;365;32.7;484.4;32.4;193.8;17925.3789
LAR 854-862;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.14;4.92;2.89;13.08;15.23;0.22;8.8;3.21;1.17;0.33;0.98;;;348;27.4;479.9;31;184.7;17325.8679
LAR 862-870;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.08;5.01;2.9;13.02;15.31;0.21;8.91;3.06;1.19;0.32;1.01;;;350;27.8;479.5;32;183.3;17385.819
LAR 870-876;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.1;5.03;2.87;12.96;15.35;0.22;8.92;3;1.24;0.32;0.95;;;336;31.9;469.4;30.4;178.2;17205.9657
LAR 876-888;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.32;4.34;3.74;12.69;15.4;0.21;8.24;3.28;1.29;0.47;1.52;;;413;31.3;526.9;33.9;234.5;22421.7114
LAR 888-898;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.18;4.32;3.88;12.55;15.66;0.22;8.21;3;1.48;0.5;1.39;;;467;33;532.8;34.8;244.1;23261.0268
LAR 898-910;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.04;4.47;3.89;12.45;15.73;0.22;8.31;2.88;1.52;0.5;1.28;;;456;33.5;542.7;36.1;247.4;23320.9779
LAR 910-920;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.82;4.05;3.89;12.41;15.38;0.22;7.81;3.1;1.75;0.57;1.2;;;447;37.3;501.5;36.5;252.1;23320.9779
LAR 920-930;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;52.68;3.49;3.52;11.99;15.07;0.22;7.2;3.1;1.99;0.75;1.24;;;565;41.3;514.4;43;295.4;21102.7872
LAR 92-102;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;50.64;5.26;2.33;12.91;15.44;0.23;9.17;2.64;1.11;0.26;1.98;;;338;23.5;326.3;30.9;167.4;13968.6063
LAR 930-942;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.49;3.54;3.57;12.25;15.76;0.23;7.44;2.97;1.95;0.79;1.67;;;593;42;544.3;40.9;294.6;21402.5427
LAR 942-950;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;52.5;3.63;3.62;12.22;14.97;0.21;7.19;3.13;1.87;0.66;1.01;;;545;34.6;527.6;39.2;274.9;21702.2982
LAR 950-958;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.93;3.7;3.79;12.31;15.05;0.21;7.34;3.27;1.71;0.68;1.07;;;523;36.5;534.8;39.6;278.8;22721.4669
LAR 958-968;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.18;3.81;3.92;12.36;15.37;0.22;7.94;2.89;1.68;0.62;1.39;;;502;28.9;535.5;37;276.9;23500.8312
LAR 968-980;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.39;3.75;3.85;12.46;15.13;0.24;7.53;3.38;1.64;0.63;1.07;;;447;26.9;488.3;37.9;277.7;23081.1735
LAR 980-988;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.35;3.71;3.85;12.67;14.87;0.23;7.1;3.85;1.76;0.6;1.14;;;401;29;457.1;38.5;282.9;23081.1735
LAR 988-998;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.77;3.93;3.8;12.71;14.34;0.22;7.45;3.64;1.59;0.55;0.89;;;703;25.5;519.6;37.2;279;22781.418
LAR 998-1008;-25.19619;-53.95916;Licht, 2018 (Mineropar);;;51.68;4.01;3.77;12.72;14.63;0.22;7.49;3.43;1.53;0.52;1.19;;;414;27.2;491.3;35.6;265;22601.5647
MANDI 1000 - 1008;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.83;4;4.19;12.45;16.12;0.21;7.1;2.76;1.85;0.5;1.99;;;550;48;486.3;33.2;279.6;25119.5109
MANDI 1008 - 1016;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.45;4.03;3.95;12.61;15.1;0.2;7.39;2.81;1.92;0.54;1.66;;;611;48.4;519.8;34.9;286.8;23680.6845
MANDI 1016 - 1022;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.64;3.92;3.69;12.58;14.23;0.19;7.16;3.09;1.97;0.53;1.93;;;574;57.9;486.3;34.4;287.2;22121.9559
MANDI 102 - 110;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.44;5.22;2.23;13.01;15.99;0.24;9.62;2.49;0.51;0.23;1.42;;;187;8.8;245.2;32.8;129.7;13369.0953
MANDI 1022 - 1032;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;53.2;4.04;2.91;13.15;13.1;0.17;7.84;3.47;1.73;0.4;2.64;;;485;50.1;451.9;31.3;247.4;17445.7701
MANDI 1032 - 1038;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;54.16;4.53;1.66;14.18;12.11;0.18;8.04;3.33;1.59;0.22;1.63;;;392;44.6;346.4;27.8;162.6;9951.8826
MANDI 1038 - 1046;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.3;4.46;2.91;13.14;13.96;0.19;7.99;3.02;1.64;0.4;1.55;;;496;38.9;459.7;35.8;248.9;17445.7701
MANDI 1046 - 1054;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;53.06;4.64;2.29;13.46;13.33;0.19;8.25;2.9;1.56;0.31;1.53;;;431;43.1;373.7;32.1;207.3;13728.8019
MANDI 110 - 118;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.63;5.08;2.17;12.93;16;0.24;9.37;2.51;0.82;0.24;1.12;;;263;19;241.2;32;132.5;13009.3887
MANDI 118 - 126;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;54.82;4.44;2.11;12.21;13.98;0.19;8.07;2.32;1.58;0.26;2.03;;;335;30.8;244.7;32.3;157.5;12649.6821
MANDI 126 - 134;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.52;5.39;2.54;13.12;15;0.21;9.69;2.39;0.86;0.28;2.02;;;300;11.5;262;34.4;162.6;15227.5794
MANDI 134 - 142;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.86;5.19;2.47;13.19;14.9;0.22;9.22;2.48;1.17;0.29;1.51;;;317;22.4;254.4;35;169.5;14807.9217
MANDI 142 - 150;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.06;5.1;2.33;13.21;14.95;0.21;8.64;2.95;1.26;0.29;2.58;;;309;25.1;273.3;32.7;155.6;13968.6063
MANDI 16 - 26;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;47.28;5.14;4.25;10.71;20.58;0.28;8.24;2.06;1.19;0.26;0.94;;;276;24.1;197.1;38;197.8;25479.2175
MANDI 172 - 180;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.84;5.36;2.06;13.06;15.41;0.23;9.56;2.65;0.59;0.24;2.29;;;223;15.5;274.5;32.3;129.2;12349.9266
MANDI 180 - 186;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.94;5.66;1.89;13.47;14.26;0.23;9.82;2.43;1.08;0.22;3.37;;;257;23.9;255.1;27.9;120.2;11330.7579
MANDI 186 - 194;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.77;5.78;1.91;13.36;14.31;0.22;9.84;2.65;0.95;0.21;2.18;;;243;22;261.3;28.2;117;11450.6601
MANDI 194 - 202;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.52;5.99;1.9;13.48;14.07;0.22;9.98;2.65;0.98;0.2;2.03;;;250;20;249;27.6;116.5;11390.709
MANDI 202 - 210;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.58;5.92;1.85;13.57;13.92;0.21;10.18;2.51;1.07;0.19;1.45;;;237;23;267.2;26.3;111.4;11090.9535
MANDI 210 - 218;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.76;5.79;1.82;13.51;14.16;0.21;9.99;2.5;1.06;0.2;1.22;;;245;25.7;264.5;26.2;116.3;10911.1002
MANDI 218 - 226;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.69;5.57;2.08;13.28;14.67;0.23;9.04;2.95;1.25;0.25;3.23;;;295;27.4;253.3;30;135.8;12469.8288
MANDI 226 - 236;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.59;5.34;2.27;13.04;15.45;0.23;9.56;2.6;0.67;0.25;1.97;;;247;12.3;269.9;30.7;140.8;13608.8997
MANDI 236 - 244;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.43;5.05;2.41;12.92;15.82;0.24;8.98;2.98;0.9;0.28;2.65;;;270;19.7;240.7;33.4;147.2;14448.2151
MANDI 244 - 248;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;49.87;5.3;2.41;13.02;16.03;0.23;9.49;2.57;0.79;0.27;1.75;;;281;14.2;276;32;153.7;14448.2151
MANDI 248 - 256;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.16;5.26;2.41;12.99;15.86;0.23;9.32;2.74;0.76;0.28;2.92;;;277;15.6;285.8;33;153.8;14448.2151
MANDI 262 - 266;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.55;5.2;2.32;12.79;15.96;0.23;9.78;2.41;0.5;0.26;1.65;;;273;8.1;281.5;33;164.2;13908.6552
MANDI 266 - 274;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.66;5.45;1.97;12.58;13.76;0.2;8.67;3.61;0.87;0.22;2.89;;;225;18;193.6;27.7;151.9;11810.3667
MANDI 280 - 286;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.63;6.34;1.71;13.77;12.92;0.2;11.1;2.43;0.71;0.18;3.13;;;179;14.2;294.6;22.5;119.3;10251.6381
MANDI 286 - 294;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.7;6.41;1.73;13.65;13.21;0.19;10.94;2.47;0.51;0.19;1.8;;;238;10.1;320.9;22;116.4;10371.5403
MANDI 302 - 310;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.31;6.39;1.74;13.83;13.28;0.2;11.19;2.36;0.53;0.18;2.44;;;188;14.4;330.7;22.3;112.3;10431.4914
MANDI 310 - 318;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.22;6.01;1.86;13.5;13.4;0.2;10.18;2.75;0.66;0.22;2.79;;;282;16.6;329.8;24.2;132.9;11150.9046
MANDI 318 - 326;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.15;5.77;2.23;13.3;14.74;0.23;10.06;2.6;0.69;0.24;2.89;;;297;13.9;322.4;26;139.1;13369.0953
MANDI 326 - 332;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.26;5.61;2.12;13.42;14.81;0.21;10.08;2.51;0.74;0.23;1.46;;;325;9.1;367.1;27.1;148.4;12709.6332
MANDI 332 - 338;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;49.86;5.63;2.16;13.45;14.9;0.21;9.92;2.6;1.02;0.25;1.35;;;313;18.5;347.6;26.9;145.5;12949.4376
MANDI 354 - 360;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.47;4.67;3.18;12.34;16.02;0.23;8.74;2.49;1.44;0.42;3.25;;;416;30.5;362.2;33.8;200.2;19064.4498
MANDI 360 - 368;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.65;4.41;3.43;12.33;16.07;0.23;8.47;2.59;1.36;0.45;1.93;;;480;30.8;347;36.1;236.5;20563.2273
MANDI 368 - 376;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.51;3.63;3.31;12.19;15.45;0.23;7.15;2.57;2.47;0.49;1.53;;;548;69.1;335.7;38.6;272.6;19843.8141
MANDI 384 - 392;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.11;4.05;3.35;12.03;15.75;0.23;7.49;2.56;1.94;0.48;1.19;;;583;52.7;329.6;39.7;269.3;20083.6185
MANDI 392 - 400;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.27;3.88;3.32;11.91;15.89;0.22;7.31;2.59;2.1;0.52;1.36;;;528;57.8;318.8;39.4;274;19903.7652
MANDI 400 - 408;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.38;4.21;3.39;12.28;15.71;0.22;7.99;2.72;1.62;0.47;1.38;;;500;48.9;361;35.2;243.8;20323.4229
MANDI 408 - 416;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.11;4.04;3.33;12.09;15.57;0.22;7.63;2.68;1.85;0.49;1.05;;;507;48.9;323.9;37.4;262.3;19963.7163
MANDI 416 - 422;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.6;4.07;3.31;12.4;15.65;0.22;7.32;2.7;2.25;0.49;1.26;;;547;57.8;325.5;39.9;266;19843.8141
MANDI 450 - 458;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.79;4.29;3.35;12.69;15.62;0.23;8.58;2.79;1.18;0.49;2.5;;;464;35.4;421.2;34.4;241.8;20083.6185
MANDI 458 - 466;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.76;4.22;3.35;12.62;15.67;0.22;8.51;2.84;1.31;0.48;2;;;498;32.5;409;32.8;240;20083.6185
MANDI 466 - 474;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.57;4.13;3.14;12.35;14.71;0.21;8.08;2.73;1.63;0.45;1.98;;;473;38.3;391.7;32.3;239.9;18824.6454
MANDI 474 - 482;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;53.07;4.11;2.98;12.53;14.19;0.2;8.02;2.8;1.66;0.43;2.06;;;476;35.9;408.7;33.2;243.2;17865.4278
MANDI 48 - 54;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;50.74;5.74;2.04;13.21;14.81;0.23;9.03;3.15;0.81;0.23;3.43;;;247;16;253.7;30.1;133.8;12230.0244
MANDI 482 - 490;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;53.52;3.92;2.89;12.79;13.75;0.2;7.62;2.91;1.98;0.41;1.52;;;527;43;410.7;34.7;255.8;17325.8679
MANDI 490 - 498;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.89;4.13;3.02;12.51;14.4;0.22;7.61;2.86;1.97;0.4;1.24;;;499;45.7;374.6;34.7;260.4;18105.2322
MANDI 498 - 506;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;53.43;4.07;2.87;12.5;14;0.2;7.72;2.84;1.99;0.39;1.23;;;494;45.3;368.1;35.9;273.1;17205.9657
MANDI 506 - 514;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;52.87;3.97;3.08;12.38;14.42;0.21;7.83;2.98;1.76;0.5;2.78;;;492;34.2;418.6;34.4;253.1;18464.9388
MANDI 524 - 530;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.68;3.64;3.52;12.39;15.58;0.22;7.47;2.92;1.92;0.65;2.12;;;538;46.3;431.5;41.6;287.1;21102.7872
MANDI 530 - 538;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.67;3.56;3.58;12.3;15.58;0.23;7.6;2.91;1.88;0.69;1.7;;;536;45.7;427;41.3;284.8;21462.4938
MANDI 538 - 546;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.89;3.5;3.54;12.31;15.48;0.23;7.38;2.95;1.99;0.74;1.31;;;560;49.2;428.6;41;296.7;21222.6894
MANDI 546 - 554;-23.55078;-51.67584;Licht, 2018 (Mineropar);;;51.05;3.88;3.52;12.5;15.75;0.23;7.57;2.92;1.92;0.66;2.22;;;506;43.3;417.6;41.1;276.9;21102.7872
